,,,,,Quantity, Delta ,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol,,,,,,,
Bouchra,Crypto,STRK,,,-779951.8,-456870,0.585767,-0.009861,-1.65556354,7691.1047,0,0,63070.67751,7691.1047,-456870.026,0,0,0,0,0,,,,,,,
Bouchra,Crypto,STRK,RelativeValue,,-779951.8,-456870,0.585767,-0.009861,-1.65556354,7691.1047,0,0,63070.67751,7691.1047,-456870.026,0,0,0,0,0,,,,,,,
Bouchra,Crypto,STRK,RelativeValue,STRK,-779951.8,-456870,0.585767,-0.009861,-1.65556354,7691.1047,0,0,63070.67751,7691.1047,-456870.026,0,0,0,0,0,,,,,,,
Bouchra,Crypto,STX,,,269995.74,502815,1.862308914,-0.023139493,-1.227267351,-6247.564461,0,0,-318777.4518,-6247.564461,502815.4734,0,0,0,0,0,,,,,,,
Bouchra,Crypto,STX,Core,,269995.74,502815,1.862308914,-0.023139493,-1.227267351,-6247.564461,0,0,-318777.4518,-6247.564461,502815.4734,0,0,0,0,0,,,,,,,
Bouchra,Crypto,STX,Core,STX,269995.74,502815,1.862308914,-0.023139493,-1.227267351,-6247.564461,0,0,-318777.4518,-6247.564461,502815.4734,0,0,0,0,0,,,,,,,
Bouchra,Crypto,TON,,,48638.1323,339008,6.97,-0.05,-0.712250712,-2431.906615,0,0,-10992.2179,-2431.906615,339007.7821,0,0,0,0,0,,,,,,,
Bouchra,Crypto,TON,Core,,48638.1323,339008,6.97,-0.05,-0.712250712,-2431.906615,0,0,-10992.2179,-2431.906615,339007.7821,0,0,0,0,0,,,,,,,
Bouchra,Crypto,TON,Core,TON,48638.1323,339008,6.97,-0.05,-0.712250712,-2431.906615,0,0,-10992.2179,-2431.906615,339007.7821,0,0,0,0,0,,,,,,,
Bouchra,Crypto,WLD,,,-176133,-408629,2.32,-0.05,-2.109704641,8806.65,0,0,41299.46534,8806.65,-408628.56,0,0,0,0,0,,,,,,,
Bouchra,Crypto,WLD,RelativeValue,,-176133,-408629,2.32,-0.05,-2.109704641,8806.65,0,0,41299.46534,8806.65,-408628.56,0,0,0,0,0,,,,,,,
Bouchra,Crypto,WLD,RelativeValue,WLD,-176133,-408629,2.32,-0.05,-2.109704641,8806.65,0,0,41299.46534,8806.65,-408628.56,0,0,0,0,0,,,,,,,
Bouchra,Equities,,,,0,996303,1.55708593,-154.590491,-99.00584983,530.2226734,0,0,-35965.60898,530.2226734,81116.30169,18.85482306,0.001782907,2287.276491,-0.211193664,0.482624624,,,,,,,
Bouchra,Equities,NVDA,,,0,996303,1.55708593,-154.590491,-99.00584983,530.2226734,0,0,-35965.60898,530.2226734,81116.30169,18.85482306,0.001782907,2287.276491,-0.211193664,0.482624624,,,,,,,
Bouchra,Equities,NVDA,E_CRYPTO_OPTIONS ,,0,996303,1.55708593,-154.590491,-99.00584983,530.2226734,0,0,-35965.60898,530.2226734,81116.30169,18.85482306,0.001782907,2287.276491,-0.211193664,0.482624624,,,,,,,
Bouchra,Equities,NVDA,E_CRYPTO_OPTIONS ,NVDA/16Aug2024/C135.0,530,1732694,2.322334059,-229.8197414,-98.99960658,-0.015245634,0,0,-156494.7153,-0.015245634,123083.7051,26.46295456,0.000235367,5495.742628,-0.322542075,0.484256926,,,,,,,
Bouchra,Equities,NVDA,E_CRYPTO_OPTIONS ,NVDA/16Aug2024/C145.0,-530,-736391,0.7918378,-79.36124072,-99.01209309,530.237919,0,0,120529.1063,530.237919,-41967.40342,11.24669156,0.00154754,-3208.466137,0.111348412,0.480992321,,,,,,,
CryptoHedges,,,,,,28910722,,,,-1033359.956,0,0,-59708617.35,-1033359.956,8245401.326,,0.010242474,-25646.5948,-3.803374453,,,,,,,,
CryptoHedges,Crypto,,,,-8500000,-9212000,1.083764725,7.11E-05,0.006563442,2885.407421,0,0,-116334.5196,2885.407421,-9212000.165,0,0,0,0,0,,,,,,,
CryptoHedges,Crypto,BTC,,,-8500000,-9212000,1.083764725,7.11E-05,0.006563442,2885.407421,0,0,-116334.5196,2885.407421,-9212000.165,0,0,0,0,0,,,,,,,
CryptoHedges,Crypto,BTC,E_CRYPTO_EQUITY ,,-8500000,-9212000,1.083764725,7.11E-05,0.006563442,2885.407421,0,0,-116334.5196,2885.407421,-9212000.165,0,0,0,0,0,,,,,,,
CryptoHedges,Crypto,BTC,E_CRYPTO_EQUITY ,USD/EUR/18Sep2024,-8500000,-9212000,1.083764725,7.11E-05,0.006563442,2885.407421,0,0,-116334.5196,2885.407421,-9212000.165,0,0,0,0,0,,,,,,,
CryptoHedges,Equities,,,,,38122723,,,,-1036245.363,0,0,-59592282.83,-1036245.363,17457401.49,,0.010242474,-25646.5948,-3.803374453,,,,,,,,
CryptoHedges,Equities,BTC,,,2590.099111,175420685,67727.40266,-400.1461421,-0.587348509,-1036418.167,0,0,84120299.99,-1036418.167,175420685.5,0,0,0,0,0,,,,,,,
