,,,,, Delta ,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol,,,,,
Pod(L2),Book(L3),Underlier,Desk Strategy,Ticker,,,,,,,,,,,,,,,,,,,,
Bouchra,Crypto,STRK,RelativeValue,," $(472,889)",0.606305,0.003674,0.609659974,-2865.542913,0,0,47052.02745,-2865.542913,-472888.6761,0,0,0,0,0,,,,,
Bouchra,Crypto,STRK,RelativeValue,STRK," $(472,889)",0.606305,0.003674,0.609659974,-2865.542913,0,0,47052.02745,-2865.542913,-472888.6761,0,0,0,0,0,,,,,
Bouchra,Crypto,STX,,," $513,534 ",1.902008592,-0.053673289,-2.744479532,-14491.55936,0,0,-308058.708,-14491.55936,513534.2172,0,0,0,0,0,,,,,
Bouchra,Crypto,STX,Core,," $513,534 ",1.902008592,-0.053673289,-2.744479532,-14491.55936,0,0,-308058.708,-14491.55936,513534.2172,0,0,0,0,0,,,,,
Bouchra,Crypto,STX,Core,STX," $513,534 ",1.902008592,-0.053673289,-2.744479532,-14491.55936,0,0,-308058.708,-14491.55936,513534.2172,0,0,0,0,0,,,,,
Bouchra,Crypto,TON,,," $342,412 ",7.04,-0.09,-1.26227209,-4377.431907,0,0,-7587.548639,-4377.431907,342412.4514,0,0,0,0,0,,,,,
Bouchra,Crypto,TON,Core,," $342,412 ",7.04,-0.09,-1.26227209,-4377.431907,0,0,-7587.548639,-4377.431907,342412.4514,0,0,0,0,0,,,,,
Bouchra,Crypto,TON,Core,TON," $342,412 ",7.04,-0.09,-1.26227209,-4377.431907,0,0,-7587.548639,-4377.431907,342412.4514,0,0,0,0,0,,,,,
Bouchra,Crypto,WLD,,," $(435,049)",2.47,-0.05,-1.984126984,8806.65,0,0,14879.51533,8806.65,-435048.51,0,0,0,0,0,,,,,
Bouchra,Crypto,WLD,RelativeValue,," $(435,049)",2.47,-0.05,-1.984126984,8806.65,0,0,14879.51533,8806.65,-435048.51,0,0,0,0,0,,,,,
Bouchra,Crypto,WLD,RelativeValue,WLD," $(435,049)",2.47,-0.05,-1.984126984,8806.65,0,0,14879.51533,8806.65,-435048.51,0,0,0,0,0,,,,,
Bouchra,Equities,,,," $654,081 ",1.207133353,-119.4587166,-98.99960649,0.036342845,0,0,-62468.45364,0.036342845,54602.99346,14.40840903,0.000205946,1834.147604,6.51E-05,0.550193604,,,,,
Bouchra,Equities,NVDA,,," $654,081 ",1.207133353,-119.4587166,-98.99960649,0.036342845,0,0,-62468.45364,0.036342845,54602.99346,14.40840903,0.000205946,1834.147604,6.51E-05,0.550193604,,,,,
Bouchra,Equities,NVDA,E_CRYPTO_OPTIONS ,," $654,081 ",1.207133353,-119.4587166,-98.99960649,0.036342845,0,0,-62468.45364,0.036342845,54602.99346,14.40840903,0.000205946,1834.147604,6.51E-05,0.550193604,,,,,
Bouchra,Equities,NVDA,E_CRYPTO_OPTIONS ,NVDA/16Aug2024/C135.0," $1,227,608 ",1.722255933,-170.4355846,-98.99960645,0.055943757,0,0,-188286.2886,0.055943757,91279.56445,19.64081532,-0.001247447,4530.294699,-0.000217792,0.545581963,,,,,
Bouchra,Equities,NVDA,E_CRYPTO_OPTIONS ,NVDA/16Aug2024/C145.0," $(573,527)",0.692010774,-68.48184863,-98.99960653,-0.019600911,0,0,125817.8349,-0.019600911,-36676.571,9.176002729,0.001453393,-2696.147095,0.000282873,0.554805246,,,,,
CryptoHedges,,,,," $16,785,511 ",,,,19816.53221,0,0,-57967585.72,19816.53221,-6936312.139,,0.076866513,-31095.82834,1.132762708,,,,,,
CryptoHedges,Crypto,,,," $(9,203,672)",1.082784897,-0.00051171,-0.04723633,7971.592138,0,0,-109096.9575,7971.592138,-9203671.624,0,0,0,0,0,,,,,
CryptoHedges,Crypto,BTC,,," $(9,203,672)",1.082784897,-0.00051171,-0.04723633,7971.592138,0,0,-109096.9575,7971.592138,-9203671.624,0,0,0,0,0,,,,,
CryptoHedges,Crypto,BTC,E_CRYPTO_EQUITY ,," $(9,203,672)",1.082784897,-0.00051171,-0.04723633,7971.592138,0,0,-109096.9575,7971.592138,-9203671.624,0,0,0,0,0,,,,,
CryptoHedges,Crypto,BTC,E_CRYPTO_EQUITY ,USD/EUR/18Sep2024," $(9,203,672)",1.082784897,-0.00051171,-0.04723633,7971.592138,0,0,-109096.9575,7971.592138,-9203671.624,0,0,0,0,0,,,,,
CryptoHedges,Equities,,,," $25,989,182 ",,,,11844.94008,0,0,-57858488.76,11844.94008,2267359.485,,0.076866513,-31095.82834,1.132762708,,,,,,
CryptoHedges,Equities,BTC,,," $175,636,532 ",67810.73776,4.536508514,0.006690404,11750.00667,0,0,84336146.16,11750.00667,175636531.6,0,0,0,0,0,,,,,
CryptoHedges,Equities,BTC,MSTRspread,," $175,636,532 ",67810.73776,4.536508514,0.006690404,11750.00667,0,0,84336146.16,11750.00667,175636531.6,0,0,0,0,0,,,,,
CryptoHedges,Equities,BTC,MSTRspread,BTC," $175,636,532 ",67810.73776,4.536508514,0.006690404,11750.00667,0,0,84336146.16,11750.00667,175636531.6,0,0,0,0,0,,,,,
CryptoHedges,Equities,MSTR,,," $(149,647,349)",,,,94.93340381,0,0,-142194634.9,94.93340381,-173369172.2,,0.076866513,-31095.82834,1.132762708,,,,,,
CryptoHedges,Equities,MSTR,E_MSTR_EQUITY ,," $(174,953,439)",1777.801429,0.000211852,1.19E-05,-20.84831433,0,0,-143684208.1,-20.84831433,-174953438.6,0,0,0,0,0,,,,,
CryptoHedges,Equities,MSTR,E_MSTR_EQUITY ,MSTR," $(174,953,439)",1777.801429,0.000211852,1.19E-05,-20.84831433,0,0,-143684208.1,-20.84831433,-174953438.6,0,0,0,0,0,,,,,
CryptoHedges,Equities,MSTR,E_MSTR_OPTIONS ,," $25,306,089 ",97.93690647,-9692.047566,-98.99965034,115.7817181,0,0,1489573.206,115.7817181,1584266.478,19.86325727,0.076866513,-31095.82834,1.132762708,1.204064285,,,,,
CryptoHedges,Equities,MSTR,E_MSTR_OPTIONS ,MSTR/02Aug2024/C1700.0," $67,187,591 ",186.4,-18446.27631,-98.99960694,1.332217086,0,0,3479855.12,1.332217086,11184000,62.96278752,0.05286438,69939.51306,2.73E-10,1.18220586,,,,,
